@relation B

@attribute attr0 numeric
@attribute attr1 numeric
@attribute class {1,-1}

@data
0.016163,-0.441562,-1
-0.514734,-0.904486,-1
-0.982495,-0.748525,1
-0.088592,0.117172,-1
0.596032,-0.985293,-1
0.895557,-0.961044,-1
-0.905335,0.515553,1
0.255465,-0.058341,1
-0.563111,-0.387154,1
-0.735249,0.475968,1
0.257755,0.161165,1
0.393913,0.489579,1
0.614639,0.443524,-1
-0.190540,-0.934893,-1
-0.638000,0.539182,1
0.978916,-0.786919,-1
0.060691,-0.582061,-1
-0.799961,0.305956,1
-0.858371,0.241876,1
-0.967237,-0.605562,1
-0.173180,-0.848202,-1
0.628907,0.848466,-1
0.071235,-0.983204,-1
0.266967,0.605999,1
-0.897566,-0.476238,1
-0.331323,0.820660,1
-0.842650,0.734361,1
0.374490,-0.756161,-1
0.453925,-0.217775,-1
0.264684,-0.964418,-1
-0.432393,0.978880,1
0.035797,-0.410082,-1
0.836689,-0.772389,-1
-0.447557,0.747609,1
-0.514903,-0.932732,-1
-0.389403,0.102980,-1
-0.244201,-0.526043,-1
0.232992,-0.648375,-1
-0.109647,-0.208140,-1
0.970991,0.859652,-1
-0.653671,0.404163,1
0.178941,0.132542,1
-0.163424,0.145999,-1
0.280850,-0.364870,-1
-0.492957,0.890777,1
-0.990622,0.995024,1
0.606643,-0.022019,-1
0.964291,-0.615740,-1
-0.604611,0.926676,1
0.722540,-0.788826,-1
-0.050705,-0.827044,-1
-0.784701,-0.683038,1
0.508616,-0.247596,-1
-0.704167,0.420490,1
-0.331263,0.278776,-1
-0.771570,0.257373,1
0.994288,0.603075,-1
-0.626307,-0.802805,1
-0.121739,0.005203,-1
0.644292,-0.312846,-1
-0.613049,0.737207,1
0.445994,-0.373704,-1
-0.950619,-0.068740,1
-0.331935,0.073158,-1
-0.165680,0.497968,1
0.591722,-0.281671,-1
0.992676,0.597368,-1
-0.280448,-0.568584,-1
0.174505,-0.756253,-1
-0.538467,-0.543407,-1
-0.322651,-0.782039,-1
0.775861,0.550758,-1
-0.541820,0.947700,1
-0.602123,-0.909088,1
0.205189,0.638907,1
0.845779,0.019590,-1
-0.853543,-0.757380,1
-0.954573,-0.191993,1
-0.680588,-0.827820,1
0.011112,-0.381202,-1
0.720395,-0.458520,-1
-0.539302,-0.745226,-1
-0.496999,0.680810,1
0.124021,0.708562,1
0.899137,0.789233,-1
0.658391,-0.543924,-1
-0.387912,-0.617093,-1
-0.886931,-0.146829,1
0.798580,-0.704725,-1
0.138526,-0.515497,-1
-0.222258,0.694181,1
0.651725,-0.997974,-1
0.555644,0.550699,-1
0.024662,0.300496,1
0.628101,-0.355376,-1
0.984090,0.702618,-1
-0.883801,-0.633303,1
-0.666969,0.696125,1
-0.564187,0.867443,1
0.035950,0.699344,1
-0.752434,-0.588606,1
0.929395,-0.167171,-1
0.400731,0.342378,1
0.134494,0.392987,1
-0.056081,0.868504,1
0.152882,0.997366,1
-0.588486,0.221522,1
-0.896556,0.285498,1
0.145587,0.800615,1
-0.112551,-0.746034,-1
0.360323,-0.519773,-1
0.982514,0.215321,-1
-0.647757,0.950118,1
-0.520144,-0.074327,1
0.031122,0.014212,1
0.919662,0.793229,-1
0.852009,0.067319,-1
0.470119,-0.576587,-1
-0.041461,-0.616499,-1
0.533795,-0.545485,-1
0.876261,0.901317,-1
-0.861007,0.622337,1
0.208354,0.382903,1
0.242685,-0.209670,1
0.619032,-0.184847,-1
0.266289,0.751274,1
-0.653523,0.204389,1
0.653988,-0.011173,-1
-0.309885,-0.922116,-1
-0.764784,0.587410,1
-0.266376,0.214196,-1
-0.309157,0.302800,-1
-0.972828,0.938230,1
-0.647357,0.236783,1
0.477324,0.196040,1
-0.263895,-0.424253,-1
0.589471,-0.693307,-1
-0.083417,0.156102,-1
-0.621989,-0.574510,1
0.137245,0.224397,1
0.996075,-0.983224,-1
-0.150160,-0.776003,-1
-0.936500,-0.258601,1
-0.332328,-0.017435,-1
0.866859,-0.596106,-1
-0.979810,-0.834798,1
-0.855836,-0.145297,1
-0.645654,0.308670,1
0.933319,0.485097,-1
-0.365785,-0.901488,-1
-0.446643,0.266148,1
0.049828,0.261209,1
0.467650,0.301364,1
0.337797,-0.067363,1
0.030962,-0.943741,-1
0.671515,-0.336986,-1
-0.514158,-0.580770,-1
0.835432,-0.768395,-1
-0.913395,0.617198,1
0.276014,0.456713,1
0.892615,-0.979858,-1
0.112923,-0.665153,-1
0.781319,-0.398021,-1
-0.150268,-0.373063,-1
-0.624773,-0.191976,1
-0.337668,0.002065,-1
0.897898,0.163543,-1
0.898194,-0.997824,-1
-0.836658,0.460004,1
-0.800299,-0.198840,1
0.491448,0.185366,-1
-0.120274,-0.275351,-1
0.314026,0.983407,1
-0.868515,0.643857,1
0.086724,-0.988025,-1
0.142683,0.887074,1
0.684325,-0.901030,-1
0.875824,0.034334,-1
0.327814,-0.139228,1
-0.080309,-0.856827,-1
-0.042208,-0.680622,-1
-0.721312,-0.022645,1
0.869521,-0.803323,-1
-0.411604,-0.611783,-1
-0.471226,0.790957,1
0.939509,0.871765,-1
0.909589,-0.447551,-1
-0.821364,-0.013767,1
0.907905,-0.190153,-1
0.320026,-0.487298,-1
-0.688621,-0.560667,1
0.704306,-0.622500,-1
-0.284079,-0.427679,-1
-0.137451,0.979869,1
-0.569948,0.502388,1
-0.335901,-0.080200,-1
-0.499811,-0.208476,1
0.026039,-0.474374,-1
-0.352418,0.917137,1
-0.157072,-0.262228,-1
-0.405469,0.435785,1
-0.349165,0.835197,1
0.613675,0.583058,-1
0.634651,0.456863,-1
-0.905879,-0.150811,1
-0.759685,-0.331197,1
0.645756,0.000879,-1
-0.694925,0.672602,1
0.254608,0.493724,1
-0.045295,-0.431159,-1
-0.496649,-0.342149,-1
0.198573,-0.637293,-1
0.956508,-0.066307,-1
0.460814,0.213968,1
0.823150,-0.049288,-1
-0.816434,-0.490260,1
-0.013699,0.665880,1
0.683574,0.467464,-1
-0.129050,0.772437,1
-0.113007,-0.921991,-1
-0.391651,0.134737,-1
0.451048,0.947252,1
0.912969,-0.529669,-1
-0.110169,-0.574819,-1
0.643514,-0.046645,-1
-0.327189,-0.005845,-1
0.875530,0.645094,-1
0.215021,-0.296548,1
-0.377689,0.445355,1
0.757879,0.472531,-1
0.434312,-0.545975,-1
0.559139,-0.088605,-1
-0.084982,0.240629,1
0.322133,-0.137009,1
-0.884805,-0.715861,1
-0.665180,-0.332897,1
0.977944,-0.186803,-1
-0.739401,0.881088,1
-0.094173,-0.714031,-1
-0.479435,0.428943,1
-0.456862,0.587105,1
-0.142923,-0.323856,-1
0.914625,-0.950359,-1
-0.641372,-0.444276,1
-0.536404,-0.674760,-1
0.257905,-0.659001,-1
0.120713,0.425498,1
-0.705598,0.532286,1
0.416080,-0.053482,1
0.692818,-0.799570,-1
0.478619,0.221909,1
0.988978,0.210186,-1
0.742532,-0.816502,-1
-0.281897,0.159719,-1
0.624950,-0.526974,-1
0.395637,0.632743,1
-0.241054,-0.617633,-1
0.966390,0.970884,-1
0.579443,0.041151,-1
0.230472,-0.412509,-1
0.990434,-0.663324,-1
0.601312,0.162509,-1
-0.269464,0.788402,1
0.115171,-0.633665,-1
0.641934,-0.001983,-1
-0.781492,0.147893,1
0.877548,-0.840340,-1
0.416592,-0.246982,-1
-0.882134,0.981234,1
0.115135,-0.367651,-1
0.400292,0.148312,1
-0.217288,0.215669,-1
0.158775,-0.191509,1
-0.990701,0.540514,1
-0.220723,0.538959,1
-0.603774,0.596746,1
0.982552,0.858083,-1
0.022536,0.216854,1
0.886490,-0.948791,-1
-0.049946,0.399456,1
0.799011,-0.673494,-1
0.301122,-0.579333,-1
-0.997832,0.763561,1
0.082319,-0.725708,-1
-0.237481,-0.785772,-1
0.139521,-0.025221,1
0.439500,0.625351,1
0.486035,0.871519,1
-0.954704,-0.870890,1
-0.046805,-0.141189,-1
-0.242946,0.383695,1
0.207202,0.246755,1
0.176767,0.916335,1
-0.517662,0.584541,1
-0.395821,-0.233461,-1
0.946024,-0.830892,-1
-0.423552,-0.084116,-1
-0.788864,0.645648,1
0.130133,0.092281,1
-0.761150,-0.353714,1
-0.037206,-0.135784,-1
-0.071033,0.267143,1
0.544002,0.218938,-1
-0.034907,-0.626505,-1
0.679768,-0.996842,-1
-0.862609,0.671590,1
0.723017,0.178520,-1
-0.356036,-0.362297,-1
-0.404870,0.147092,1
0.314519,0.239598,1
0.357998,0.798247,1
0.112585,0.736257,1
0.746397,0.888585,-1
0.796995,-0.075724,-1
-0.062434,0.881972,1
-0.166284,0.112759,-1
-0.140377,-0.940840,-1
-0.953988,-0.993400,1
0.891605,-0.171186,-1
0.795095,0.881950,-1
0.350749,0.247927,1
0.333353,0.593188,1
-0.023470,0.343446,1
-0.011435,0.083894,1
0.784217,0.717991,-1
-0.033729,-0.093536,-1
0.098400,0.289885,1
0.613459,-0.804500,-1
0.623930,-0.660310,-1
-0.977278,0.247039,1
-0.918670,-0.870373,1
0.200970,-0.683244,-1
-0.862259,0.999134,1
0.079778,0.452045,1
-0.513466,-0.245312,1
-0.676958,0.657599,1
-0.017947,0.026946,-1
-0.834505,0.729471,1
0.499375,-0.756416,-1
0.828758,0.642656,-1
-0.069836,0.124722,-1
-0.265651,-0.037351,-1
0.356726,-0.725749,-1
0.344544,0.647091,1
-0.962342,-0.388416,1
-0.211659,-0.196811,-1
0.558285,-0.394678,-1
-0.951272,0.845802,1
-0.238382,0.099220,-1
0.208177,-0.191714,1
-0.227325,0.112993,-1
0.331062,0.268373,1
0.892780,-0.905014,-1
-0.924673,-0.981620,1
