@relation A

@attribute attr0 numeric
@attribute attr1 numeric
@attribute class {1,-1}

@data
-0.977729,-0.315809,-1
0.347160,0.147976,1
0.607133,0.361841,-1
-0.950689,-0.374130,-1
-0.868246,0.949132,1
-0.911974,0.536145,-1
0.785511,-0.246758,-1
0.559763,0.922936,1
0.212118,-0.519145,-1
-0.247379,-0.428402,-1
0.443219,-0.177941,-1
0.155172,0.593113,1
-0.172690,-0.964395,-1
-0.750151,0.500877,-1
0.558861,0.637078,1
-0.794557,0.273066,-1
-0.339707,0.069891,-1
-0.743944,-0.577116,-1
-0.149150,0.471406,1
-0.356625,0.360395,1
0.114510,0.156213,1
0.686889,0.076209,-1
-0.948002,-0.687769,-1
-0.286503,0.779820,1
0.942670,0.680918,-1
-0.048658,-0.180922,-1
0.179486,-0.864148,-1
-0.924487,-0.402034,-1
0.612117,-0.161678,-1
-0.255228,-0.767307,-1
0.097251,0.825179,1
0.129379,0.737847,1
0.766198,0.832511,1
-0.354393,0.202656,1
0.494470,0.880627,1
-0.325592,-0.204285,-1
0.984830,-0.717979,-1
0.040089,0.020065,1
-0.846000,-0.232464,-1
-0.596264,0.576801,1
0.963466,0.901768,-1
-0.660898,-0.790266,-1
-0.469004,-0.566894,-1
0.438804,-0.978729,-1
-0.048079,0.794367,1
0.106077,0.840396,1
0.119369,0.526766,1
-0.286501,-0.224135,-1
0.942159,-0.752051,-1
-0.299168,0.973482,1
0.286690,0.178866,1
0.530469,-0.312141,-1
0.078049,0.429681,1
0.955169,-0.583871,-1
-0.276340,-0.085980,-1
-0.944713,-0.776259,-1
0.980391,0.523685,-1
0.179029,0.649522,1
-0.902415,0.939815,1
-0.185294,0.590544,1
-0.865951,0.757026,1
-0.272871,0.940206,1
0.685649,0.953429,1
-0.478320,0.101721,-1
-0.937177,0.664110,-1
-0.615764,0.854390,1
-0.907410,0.781277,-1
-0.558158,-0.488379,-1
0.749435,-0.269069,-1
-0.125290,0.947957,1
0.037975,-0.904650,-1
0.194950,-0.998001,-1
-0.491832,0.940344,1
-0.797103,-0.239757,-1
0.700315,-0.402368,-1
0.882478,0.315284,-1
-0.923043,0.384489,-1
0.170553,-0.856663,-1
-0.719132,-0.085549,-1
-0.773306,0.056977,-1
-0.646535,0.001963,-1
-0.600494,0.245540,-1
-0.339607,0.433755,1
-0.275244,0.803427,1
0.254061,0.605209,1
0.282895,-0.965996,-1
-0.093824,-0.663582,-1
-0.500354,-0.185842,-1
-0.793297,-0.370147,-1
-0.187144,0.993051,1
-0.874680,0.713805,-1
-0.815858,-0.105397,-1
-0.631260,-0.041223,-1
-0.571350,0.345551,1
-0.412943,0.726696,1
0.015712,0.846905,1
-0.548411,0.103438,-1
-0.397639,0.392611,1
0.487586,-0.910051,-1
-0.427127,-0.743922,-1
0.063828,0.955873,1
0.798210,-0.797549,-1
0.261898,0.218522,1
-0.595151,0.973084,1
-0.750290,0.666456,1
-0.624163,-0.986512,-1
-0.365466,0.968239,1
0.162154,0.156075,1
0.420279,0.484114,1
0.272047,-0.466123,-1
-0.932220,-0.706960,-1
0.704840,0.619828,1
-0.261345,-0.895745,-1
-0.445127,0.546436,1
0.912955,0.506673,-1
-0.191170,-0.032952,-1
0.984249,0.246515,-1
-0.853685,-0.888409,-1
0.748072,-0.840190,-1
0.469265,-0.340378,-1
0.555304,-0.503273,-1
-0.461169,-0.619948,-1
-0.855956,-0.514224,-1
0.878215,-0.895356,-1
0.078434,0.695915,1
0.092362,-0.644874,-1
-0.663845,-0.351129,-1
0.758851,0.734067,1
-0.162357,-0.513488,-1
0.650267,0.098565,-1
-0.454155,0.579431,1
0.531192,-0.681371,-1
0.190033,0.577524,1
0.577797,0.443799,1
0.383078,0.472829,1
-0.127523,0.374312,1
0.280160,0.498150,1
0.364632,0.688698,1
0.334844,0.203363,1
0.849689,0.056811,-1
-0.439206,0.657935,1
-0.550151,-0.675715,-1
0.651067,-0.499714,-1
0.658094,-0.121949,-1
-0.959169,0.876028,-1
0.517375,0.898175,1
0.519696,0.538065,1
0.581172,0.656020,1
-0.234767,-0.898821,-1
-0.036016,0.950844,1
0.637118,0.642405,1
-0.284637,0.308358,1
-0.372629,0.008826,-1
-0.542829,0.703628,1
0.918075,-0.812098,-1
-0.721750,-0.048621,-1
-0.504916,-0.918814,-1
-0.549240,-0.512829,-1
-0.003961,-0.188227,-1
0.659401,-0.228378,-1
-0.080437,-0.505907,-1
-0.295663,0.570711,1
-0.263156,-0.798940,-1
-0.744136,0.032338,-1
-0.810522,0.359075,-1
-0.105392,-0.739099,-1
0.497417,0.648509,1
-0.216874,-0.957169,-1
0.682761,-0.444872,-1
-0.433225,-0.854623,-1
0.228315,0.808578,1
0.769097,-0.022910,-1
-0.410940,0.261675,1
-0.598604,0.818523,1
-0.974222,0.631140,-1
-0.930490,0.770727,-1
-0.523619,0.334157,1
-0.230646,0.352918,1
0.299277,-0.257205,-1
-0.889328,-0.765232,-1
-0.659892,0.696983,1
0.492528,-0.783740,-1
-0.925751,-0.883837,-1
-0.813446,0.938049,1
-0.713459,0.397132,-1
-0.906166,-0.693168,-1
-0.538633,0.255486,-1
-0.931583,0.138055,-1
-0.133546,-0.527727,-1
-0.554335,0.725662,1
0.474071,-0.222220,-1
-0.012563,0.843224,1
0.971234,0.195800,-1
-0.539985,-0.240265,-1
0.603161,-0.258627,-1
0.507535,-0.925990,-1
0.895283,0.474198,-1
0.044814,-0.529430,-1
-0.733716,-0.608098,-1
-0.346382,0.114857,-1
0.910814,0.639769,-1
-0.816366,-0.985608,-1
0.271428,-0.019086,-1
0.288512,0.984647,1
0.277817,-0.539012,-1
0.744455,0.984924,1
0.623992,0.258649,-1
-0.312183,0.174639,1
-0.998285,-0.338165,-1
0.715219,0.642990,1
0.616077,0.792856,1
-0.084996,-0.366624,-1
-0.985794,0.070775,-1
-0.201626,0.690393,1
0.035842,0.362229,1
-0.333456,0.728201,1
-0.293661,-0.820965,-1
0.828154,-0.109402,-1
-0.861721,-0.224844,-1
0.024613,0.360129,1
0.823280,0.747274,1
0.143111,0.500159,1
0.127631,-0.248956,-1
0.907119,-0.078847,-1
-0.735561,0.383283,-1
-0.093879,-0.780638,-1
-0.372439,0.461462,1
-0.229828,0.486488,1
0.405587,0.926707,1
-0.046649,0.444890,1
-0.207142,-0.651668,-1
-0.938628,-0.542058,-1
0.466455,0.188176,-1
0.550126,0.415563,1
-0.859200,0.202903,-1
-0.159335,0.496525,1
0.435507,0.570398,1
0.026918,0.706337,1
-0.549767,0.346790,1
0.868596,-0.120195,-1
0.317346,-0.703972,-1
-0.983118,0.517181,-1
-0.620207,0.045496,-1
-0.499642,-0.388247,-1
-0.406194,-0.428442,-1
-0.179620,0.318685,1
0.966950,0.464294,-1
-0.758662,0.211298,-1
-0.245810,0.535538,1
-0.899404,-0.759671,-1
-0.499056,-0.035599,-1
-0.735324,0.985911,1
0.811887,-0.401181,-1
-0.717409,-0.239492,-1
0.772136,0.071132,-1
-0.103135,0.743534,1
0.960600,-0.515576,-1
0.939638,-0.219550,-1
0.758307,-0.408726,-1
-0.738599,-0.317589,-1
0.516038,-0.257774,-1
-0.553936,0.718666,1
0.394910,0.152159,-1
-0.163865,-0.212855,-1
-0.580494,-0.111721,-1
0.520317,0.770817,1
-0.004212,0.848964,1
-0.636131,0.589198,1
-0.829973,0.131500,-1
-0.447444,0.827909,1
0.486998,-0.208933,-1
0.521575,-0.842839,-1
-0.106006,0.483342,1
-0.751275,-0.738384,-1
0.640949,0.379111,-1
0.021291,-0.644444,-1
0.150213,0.723668,1
-0.241169,-0.067389,-1
0.511302,-0.578569,-1
-0.497061,-0.693533,-1
0.111214,0.639668,1
-0.017162,-0.032428,-1
-0.971361,0.747754,-1
-0.573276,-0.977755,-1
0.295916,-0.640687,-1
-0.238865,0.665973,1
-0.743309,-0.111727,-1
-0.551902,-0.592496,-1
0.719584,-0.940901,-1
-0.437400,0.076871,-1
0.075447,-0.488859,-1
0.264118,-0.293639,-1
-0.397329,0.382705,1
0.990326,0.044785,-1
-0.177212,-0.820090,-1
-0.135948,0.002157,-1
0.810742,0.973290,1
-0.084483,-0.500234,-1
-0.339811,0.126571,1
-0.583335,0.431912,1
-0.929311,0.506707,-1
-0.251712,0.496342,1
-0.110767,0.354882,1
-0.163552,-0.686973,-1
0.643786,-0.945876,-1
-0.804652,0.765064,1
-0.258708,0.976652,1
-0.536703,-0.457949,-1
0.125287,-0.399655,-1
0.634381,-0.864660,-1
-0.243540,-0.279699,-1
0.739866,-0.612566,-1
0.019335,0.656453,1
